"file","website_usage","source","status"
"frontend/public/assets/images/site/hero-poster.jpg","Homepage hero poster and fallback","frontend/public/assets/images/site/hero-poster.jpg","copied-local"
"frontend/public/assets/images/site/about-portrait.jpeg","About page portrait and structured data image","frontend/public/assets/images/site/about-portrait.jpeg","copied-local"
"frontend/public/assets/images/site/social-share-og.png","Open Graph and social sharing image","frontend/public/assets/images/site/social-share-og.png","copied-local"
"frontend/public/assets/images/site/favicon.svg","Browser tab icon","frontend/public/favicon.svg","copied-local"
"frontend/public/assets/images/ui/grain-texture.svg","CSS grain/noise overlay","frontend/src/index.css inline SVG","extracted-from-css"
"frontend/public/assets/images/music-covers/01-neon-cathedral.jpg","Neon Cathedral cover","https://images.unsplash.com/photo-1556139930-c23fa4a4f934","downloaded-stock"
"frontend/public/assets/images/music-covers/02-midnight-voltage.jpg","Midnight Voltage cover","https://images.unsplash.com/photo-1566410824233-a8011929225c","downloaded-stock"
"frontend/public/assets/images/music-covers/03-solar-winds-remix.jpg","Solar Winds remix cover","https://images.unsplash.com/photo-1709377195538-5522ed0f9e10","downloaded-stock"
"frontend/public/assets/images/music-covers/04-afterlife-sequence.jpg","Afterlife Sequence cover","https://images.pexels.com/photos/3391926/pexels-photo-3391926.jpeg","downloaded-stock"
"frontend/public/assets/images/music-covers/05-tulum-sunrise-live-set.jpg","Tulum Sunrise live set cover","https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f","downloaded-stock"
"frontend/public/assets/images/music-covers/06-electric-bloom.jpg","Electric Bloom cover","https://images.unsplash.com/photo-1459749411175-04bf5292ceea","downloaded-stock"
"frontend/public/assets/images/gallery/01-festival-mainstage-lights.jpg","Gallery: Festival mainstage lights","https://images.unsplash.com/photo-1470225620780-dba8ba36b745","downloaded-stock"
"frontend/public/assets/images/gallery/02-live-dj-performance.jpg","Gallery: Live DJ performance","https://images.unsplash.com/photo-1533174072545-7a4b6ad7a6c3","downloaded-stock"
"frontend/public/assets/images/gallery/03-crowd-hands-up.jpg","Gallery: Crowd with hands up","https://images.unsplash.com/photo-1470229722913-7c0e2dbbafd3","downloaded-stock"
"frontend/public/assets/images/gallery/04-studio-session.jpg","Gallery: Studio session","https://images.unsplash.com/photo-1598488035139-bdbb2231ce04","downloaded-stock"
"frontend/public/assets/images/gallery/05-promo-portrait-neon.jpg","Gallery: Promo portrait neon","https://images.unsplash.com/photo-1541126274323-dbac58d14741","downloaded-stock"
"frontend/public/assets/images/gallery/06-dj-decks-close-up.jpg","Gallery: DJ decks close up","https://images.unsplash.com/photo-1516873240891-4bf014598ab4","downloaded-stock"
"frontend/public/assets/images/gallery/07-festival-stage-neon.jpg","Gallery: Festival stage neon","https://images.unsplash.com/photo-1721133073235-e4b5facb27fa","downloaded-stock"
"frontend/public/assets/images/gallery/08-backstage-moment.jpg","Gallery: Backstage moment","https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f","downloaded-stock"
